#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 06 14 20 53 190  6.0  7.0   0.1    MM    MM  MM     MM  23.1    MM  15.4   MM   MM    MM
2017 06 14 20 30 210  3.0  3.0   0.1    MM    MM  MM     MM  23.2    MM  18.0   MM   MM    MM
2017 06 14 20 23 160  3.0  3.0   0.1    MM    MM  MM     MM  23.1    MM  18.7   MM   MM    MM
2017 06 14 19 53 210  3.0  3.0   0.1    MM    MM  MM     MM  23.2    MM  17.7   MM   MM    MM
2017 06 14 19 45 200  3.0  3.0   0.1    MM    MM  MM     MM  22.9    MM  17.6   MM   MM    MM
2017 06 14 19 30 200  3.0  4.0   0.1    MM    MM  MM     MM  22.7    MM  17.8   MM   MM    MM
2017 06 14 19 00 220  2.0  3.0   0.1    MM    MM  MM     MM  22.5    MM  18.7   MM   MM    MM
2017 06 14 18 53 210  3.0  4.0   0.1    MM    MM  MM     MM  22.7    MM  18.5   MM   MM    MM
2017 06 14 18 45 220  3.0  3.0   0.1    MM    MM  MM     MM  22.5    MM  18.2   MM   MM    MM
2017 06 14 18 30 220  3.0  3.0   0.1    MM    MM  MM     MM  22.5    MM  18.0   MM   MM    MM
2017 06 14 18 00 220  3.0  3.0   0.1    MM    MM  MM     MM  22.6    MM  17.9   MM   MM    MM
2017 06 14 17 53 220  3.0  3.0   0.1    MM    MM  MM     MM  22.5    MM  17.9   MM   MM    MM
2017 06 14 16 15 220  2.0  2.0   0.1    MM    MM  MM     MM  22.2    MM  18.2   MM   MM    MM
2017 06 14 15 53 220  2.0  2.0   0.1    MM    MM  MM     MM  22.2    MM  18.2   MM   MM    MM
2017 06 14 13 30  MM  0.0  1.0   0.1    MM    MM  MM     MM  21.7    MM  17.8   MM   MM    MM
2017 06 14 13 23 220  2.0  2.0   0.1    MM    MM  MM     MM  22.2    MM  18.2   MM   MM    MM
2017 06 14 13 15  MM  0.0  1.0   0.1    MM    MM  MM     MM  21.2    MM  17.5   MM   MM    MM
2017 06 14 12 53  80  1.0  2.0   0.1    MM    MM  MM     MM  20.3    MM  17.3   MM   MM    MM
2017 06 14 12 45  80  1.0  2.0   0.1    MM    MM  MM     MM  20.3    MM  17.3   MM   MM    MM
2017 06 14 12 30  60  2.0  2.0   0.1    MM    MM  MM     MM  20.2    MM  17.1   MM   MM    MM
2017 06 14 11 00  20  2.0  3.0   0.1    MM    MM  MM     MM  19.6    MM  16.5   MM   MM    MM
2017 06 14 10 53  20  2.0  3.0   0.1    MM    MM  MM     MM  19.6    MM  16.5   MM   MM    MM
2017 06 14 10 30  50  1.0  2.0   0.1    MM    MM  MM     MM  19.9    MM  17.1   MM   MM    MM
